,Linked Page,Directory Page,University,Entity,Maybe Uni
Andrew Abbott,https://sociology.uchicago.edu/directory/andrew-abbott,https://socialsciences.uchicago.edu/directory/andrew-abbott,University of Chicago,"[[('University of Chicago', 'ORG')]]",University of Chicago
Eman Abdelhadi,https://humdev.uchicago.edu/directory/eman-abdelhadi,https://socialsciences.uchicago.edu/directory/eman-abdelhadi,Still Working on This,[[]],University of California
Hussein Ali Agrama,https://anthropology.uchicago.edu/people/faculty/hussein-ali-agrama,https://socialsciences.uchicago.edu/directory/hussein-ali-agrama,Johns Hopkins University,"[[('Johns Hopkins University', 'ORG')]]",Johns Hopkins University
Ufuk Akcigit,https://economics.uchicago.edu/directory/ufuk-akcigit,https://socialsciences.uchicago.edu/directory/ufuk-akcigit,Massachusetts Institute of Technology,"[[('Massachusetts Institute of Technology', 'ORG')]]",Massachusetts Institute of Technology
Michael E. Albertus,https://political-science.uchicago.edu/directory/michael-albertus,https://socialsciences.uchicago.edu/directory/michael-e-albertus,D Stanford,"[[('Stanford', 'ORG')]]",Stanford
Fredrik Albritton Jonsson,https://history.uchicago.edu/directory/fredrik-albritton-jonsson,https://socialsciences.uchicago.edu/directory/fredrik-albritton-jonsson,University of Chicago,"[[('University of Chicago', 'ORG')]]",University of Chicago
Guy S. Alitto,https://history.uchicago.edu/directory/guy-salvatore-alitto,https://socialsciences.uchicago.edu/directory/guy-s-alitto,Harvard University,"[[('Harvard University', 'ORG')]]",Harvard University
Fernando Alvarez,https://economics.uchicago.edu/directory/fernando-alvarez,https://socialsciences.uchicago.edu/directory/fernando-alvarez,University of Minnesota,"[[('University of Minnesota', 'ORG')]]",University of Minnesota
Clifford  Ando,https://history.uchicago.edu/directory/clifford-ando,https://socialsciences.uchicago.edu/directory/clifford-ando,University of Michigan,"[[('University of Michigan', 'ORG')]]",University of Michigan
Sneha  Annavarapu,https://sociology.uchicago.edu/content/postdoctoral-researchers,https://socialsciences.uchicago.edu/directory/sneha-annavarapu,"Sneha Annavarapu's research interests include gender, globalization, qualitative methodology, social change, social theory, and urban sociology. She received her PhD in Sociology from the University of Chicago in 2020.","[[(""Sneha Annavarapu's"", 'PERSON')], [('PhD', 'WORK_OF_ART'), ('the University of Chicago', 'ORG'), ('2020', 'DATE')]]",the University of Chicago
Luc Anselin,https://sociology.uchicago.edu/directory/luc-anselin,https://socialsciences.uchicago.edu/directory/luc-anselin,Cornell University,"[[('Cornell University', 'ORG')]]",Cornell University
Brett Baker,No Link,https://socialsciences.uchicago.edu/directory/brett-baker,Cornell University,"[[('Cornell University', 'ORG')]]",Cornell University
Chaevia Clendinen,No Link,https://socialsciences.uchicago.edu/directory/chaevia-clendinen,Cornell University,"[[('Cornell University', 'ORG')]]",Cornell University
Paul Fatula,No Link,https://socialsciences.uchicago.edu/directory/paul-fatula,Cornell University,"[[('Cornell University', 'ORG')]]",Cornell University
Jacqueline Hill,No Link,https://socialsciences.uchicago.edu/directory/jacqueline-hill,Cornell University,"[[('Cornell University', 'ORG')]]",Cornell University
Cathy Mican,No Link,https://socialsciences.uchicago.edu/directory/cathy-mican,Cornell University,"[[('Cornell University', 'ORG')]]",Cornell University
Kelly Therese Pollock,No Link,https://socialsciences.uchicago.edu/directory/kelly-therese-pollock,Cornell University,"[[('Cornell University', 'ORG')]]",Cornell University
Lindsey Weglarz,No Link,https://socialsciences.uchicago.edu/directory/lindsey-weglarz,Cornell University,"[[('Cornell University', 'ORG')]]",Cornell University
Joshua Beck,No Link,https://socialsciences.uchicago.edu/directory/joshua-beck,Cornell University,"[[('Cornell University', 'ORG')]]",Cornell University
Katie Kaftanich,No Link,https://socialsciences.uchicago.edu/directory/katie-kaftanich,Cornell University,"[[('Cornell University', 'ORG')]]",Cornell University
Rohit Rijhsinghani,No Link,https://socialsciences.uchicago.edu/directory/rohit-rijhsinghani,Cornell University,"[[('Cornell University', 'ORG')]]",Cornell University
Yasmin Omer,No Link,https://socialsciences.uchicago.edu/directory/yasmin-omer,Cornell University,"[[('Cornell University', 'ORG')]]",Cornell University
Elizabeth Braun Rush,No Link,https://socialsciences.uchicago.edu/directory/elizabeth-braun-rush,Cornell University,"[[('Cornell University', 'ORG')]]",Cornell University
