,Linked Page,Directory Page,Type of Employ,Position,University
Whit Ayres,https://harris.uchicago.edu/directory/whit-ayres,https://harris.uchicago.edu/directory,lecturer,lecturer,University of North
Rene Bautista,https://harris.uchicago.edu/directory/rene-bautista,https://harris.uchicago.edu/directory,lecturer,"lecturer, sr research methodologist, norc",University of Chicago
Kennette Benedict,https://harris.uchicago.edu/directory/kennette-benedict,https://harris.uchicago.edu/directory,lecturer,lecturer,Stanford University
Wil Burns,https://harris.uchicago.edu/directory/wil-burns,https://harris.uchicago.edu/directory?field_last__value=All&title=&page=1,lecturer,lecturer,University of Wales
Maliha Chishti,https://harris.uchicago.edu/directory/maliha-chishti,https://harris.uchicago.edu/directory?field_last__value=All&title=&page=1,lecturer,lecturer,University of Toronto
Chris Clapp,https://harris.uchicago.edu/directory/chris-clapp,https://harris.uchicago.edu/directory?field_last__value=All&title=&page=1,lecturer,assistant instructional professor,University of Virginia
Leah Gjertson,https://harris.uchicago.edu/directory/leah-gjertson,https://harris.uchicago.edu/directory?field_last__value=All&title=&page=4,lecturer,lecturer,University of Wisconsin
Robert Owens,https://harris.uchicago.edu/directory/robert-owens,https://harris.uchicago.edu/directory?field_last__value=All&title=&page=8,lecturer,lecturer,Harvard University
Seth Rachlin,https://harris.uchicago.edu/directory/seth-rachlin,https://harris.uchicago.edu/directory?field_last__value=All&title=&page=9,lecturer,lecturer,Princeton University
Michael Tiboris,https://harris.uchicago.edu/directory/michael-tiboris,https://harris.uchicago.edu/directory?field_last__value=All&title=&page=11,lecturer,lecturer,University of California
William Towns,https://harris.uchicago.edu/directory/william-towns,https://harris.uchicago.edu/directory?field_last__value=All&title=&page=11,lecturer,lecturer,Loyola University
Anjali Adukia,https://harris.uchicago.edu/directory/anjali-adukia,https://harris.uchicago.edu/directory,faculty,assistant professor,Harvard University
Jeannie Annan,https://harris.uchicago.edu/directory/jeannie-annan,https://harris.uchicago.edu/directory,faculty,senior research associate,Indiana University
Dan Black,https://harris.uchicago.edu/directory/dan-black,https://harris.uchicago.edu/directory,faculty,professor,University of Kansas
Christopher Blattman,https://harris.uchicago.edu/directory/christopher-blattman,https://harris.uchicago.edu/directory,faculty,ramalee e. pearson professor of global conflict studies,University of California
Ethan Bueno de Mesquita,https://harris.uchicago.edu/directory/ethan-bueno-de-mesquita,https://harris.uchicago.edu/directory?field_last__value=All&title=&page=1,faculty,sydney stein professor and deputy dean,Harvard University
Fiona Burlig,https://harris.uchicago.edu/directory/fiona-burlig,https://harris.uchicago.edu/directory?field_last__value=All&title=&page=1,faculty,assistant professor,University of California
Don Coursey,https://harris.uchicago.edu/directory/don-coursey,https://harris.uchicago.edu/directory?field_last__value=All&title=&page=2,faculty,ameritech professor of public policy,University of Arizona
