,University,Count of Professors
0,Harvard University,12
1,University of California,8
2,University of Wisconsin,3
3,Columbia University,3
4,Northwestern University,3
5,University of Chicago,2
6,Stanford University,2
7,Princeton University,2
8,University of Michigan,2
9,University of North Carolina,1
10,University of Wales,1
11,University of Toronto,1
12,University of Virginia,1
13,Loyola University,1
14,Indiana University,1
15,University of Kansas,1
16,University of Arizona,1
17,European University,1
18,Kyoto University,1
19,City University of New York,1
20,Boston University,1
21,University of Pennsylvania,1
22,Peking University,1
