,University,Count of Professors
0,University of Chicago,43
1,Harvard University,20
2,University of California,18
3,Cornell University,13
4,Princeton University,12
5,University of Michigan,10
6,Yale University,10
7,Stanford University,9
8,Columbia University,9
9,Massachusetts Institute of Technology,7
10,Johns Hopkins University,3
11,Brown University,3
12,University of Minnesota,2
13,University of Franche,2
14,University of Wisconsin,2
15,New York University,2
16,Northwestern University,2
17,University of Pennsylvania,2
18,University of Tokyo,1
19,University of Illinois,1
20,Washington University,1
21,Cambridge University,1
22,University of London,1
23,The University,1
24,Catholic University,1
25,Oxford University,1
26,SUNY at Buffalo,1
27,McGill University,1
28,University of Campinas,1
29,University of Paris,1
30,University of Texas,1
31,University of Cambridge,1
32,University of Vienna,1
33,University of Wyoming,1
34,University of Virginia,1
35,Syracuse University,1
36,Leiden University,1
37,University of MInnesota,1
38,Australian National University,1
